          1  2.57812e-01 -6.41865e+00 -1.79489e+00
          2  3.43750e-01 -6.39604e+00 -1.71774e+00
          3  3.55469e-01 -6.36083e+00 -1.51251e+00
          4  3.20312e-01 -6.37552e+00 -1.58832e+00
          5  3.04688e-01 -6.39075e+00 -1.69634e+00
          6  3.04688e-01 -6.37337e+00 -1.61822e+00
          7  3.04688e-01 -6.39005e+00 -1.67826e+00
          8  2.38281e-01 -6.40938e+00 -1.76023e+00
          9  2.57812e-01 -6.42160e+00 -1.84128e+00
         10  3.04688e-01 -6.41337e+00 -1.82144e+00
         11  3.43750e-01 -6.37991e+00 -1.63379e+00
         12  3.04688e-01 -6.43147e+00 -1.91461e+00
         13  2.77344e-01 -6.42938e+00 -1.90380e+00
         14  3.12500e-01 -6.44902e+00 -1.96680e+00
         15  3.24219e-01 -6.41636e+00 -1.82275e+00
         16  3.20312e-01 -6.39165e+00 -1.69568e+00
         17  2.96875e-01 -6.44592e+00 -1.94126e+00
         18  2.85156e-01 -6.44144e+00 -1.88524e+00
         19  2.96875e-01 -6.46759e+00 -1.96613e+00
         20  2.53906e-01 -6.48265e+00 -2.07515e+00
         21  2.81250e-01 -6.38870e+00 -1.62872e+00
         22  3.35938e-01 -6.43411e+00 -1.85874e+00
         23  2.53906e-01 -6.43015e+00 -1.85778e+00
         24  2.85156e-01 -6.45183e+00 -1.96467e+00
         25  3.20312e-01 -6.47213e+00 -2.08378e+00
         26  2.92969e-01 -6.43101e+00 -1.90737e+00
         27  2.69531e-01 -6.38778e+00 -1.64834e+00
         28  2.46094e-01 -6.36614e+00 -1.52731e+00
         29  2.96875e-01 -6.33555e+00 -1.42032e+00
         30  2.89062e-01 -6.38843e+00 -1.68980e+00
         31  2.77344e-01 -6.37319e+00 -1.62156e+00
         32  3.04688e-01 -6.38942e+00 -1.66438e+00
         33  3.39844e-01 -6.39832e+00 -1.70942e+00
         34  2.89062e-01 -6.40826e+00 -1.73216e+00
         35  2.69531e-01 -6.39916e+00 -1.66461e+00
         36  3.08594e-01 -6.37737e+00 -1.60830e+00
         37  3.12500e-01 -6.42330e+00 -1.83925e+00
         38  3.28125e-01 -6.40936e+00 -1.80550e+00
         39  3.24219e-01 -6.39578e+00 -1.71035e+00
         40  3.12500e-01 -6.43439e+00 -1.87862e+00
         41  3.12500e-01 -6.47486e+00 -2.13624e+00
         42  3.00781e-01 -6.48228e+00 -2.16805e+00
         43  3.35938e-01 -6.44248e+00 -1.99853e+00
         44  2.65625e-01 -6.40321e+00 -1.82543e+00
         45  3.00781e-01 -6.39153e+00 -1.72385e+00
         46  3.20312e-01 -6.41411e+00 -1.85114e+00
         47  3.08594e-01 -6.38550e+00 -1.68032e+00
         48  3.24219e-01 -6.42814e+00 -1.89296e+00
         49  2.61719e-01 -6.38852e+00 -1.68982e+00
         50  2.65625e-01 -6.40533e+00 -1.79899e+00
         51  3.43750e-01 -6.39500e+00 -1.73327e+00
         52  3.04688e-01 -6.42058e+00 -1.88821e+00
         53  2.53906e-01 -6.38883e+00 -1.75323e+00
         54  3.08594e-01 -6.41022e+00 -1.84047e+00
         55  2.69531e-01 -6.37536e+00 -1.64065e+00
         56  3.04688e-01 -6.39448e+00 -1.73777e+00
         57  3.00781e-01 -6.35273e+00 -1.58184e+00
         58  2.26562e-01 -6.33069e+00 -1.44197e+00
         59  3.20312e-01 -6.35955e+00 -1.58771e+00
         60  3.16406e-01 -6.38839e+00 -1.73090e+00
         61  2.81250e-01 -6.40548e+00 -1.82135e+00
         62  3.39844e-01 -6.41341e+00 -1.76494e+00
         63  2.85156e-01 -6.41451e+00 -1.75224e+00
         64  3.32031e-01 -6.39028e+00 -1.64994e+00
         65  2.81250e-01 -6.37757e+00 -1.65042e+00
         66  3.04688e-01 -6.39886e+00 -1.78305e+00
         67  2.92969e-01 -6.37721e+00 -1.64743e+00
         68  2.92969e-01 -6.33923e+00 -1.45986e+00
         69  3.35938e-01 -6.33000e+00 -1.42699e+00
         70  3.04688e-01 -6.40502e+00 -1.80235e+00
