          1  3.20000e-01  1.88258e+03  6.44609e+03
          2  6.00000e-01  9.44365e+02  3.27746e+03
          3  6.80000e-01  5.62513e+02  1.97000e+03
          4  4.80000e-01  4.29642e+02  1.51347e+03
          5  3.20000e-01  3.39568e+02  1.20563e+03
          6  3.60000e-01  1.18336e+02  4.47881e+02
          7  4.80000e-01  8.63195e+01  3.34114e+02
          8  4.40000e-01  5.46701e+01  2.22217e+02
          9  4.00000e-01  4.87409e+01  2.00266e+02
         10  3.20000e-01  1.77931e+01  9.31163e+01
         11  3.60000e-01  1.27769e+01  7.39885e+01
         12  2.40000e-01  6.58032e+00  5.15296e+01
         13  3.60000e-01  2.97558e+00  3.76352e+01
         14  8.00000e-02  2.11761e+00  3.45202e+01
         15  1.60000e-01  1.98254e+00  3.40172e+01
         16  1.60000e-01  1.23619e+00  3.11266e+01
         17  2.80000e-01  9.92361e-01  2.99567e+01
         18  2.40000e-01  9.00422e-02  2.64890e+01
         19  2.80000e-01 -5.25635e-01  2.37228e+01
         20  2.80000e-01 -2.31322e+00  1.64883e+01
         21  2.00000e-01 -2.65080e+00  1.50651e+01
         22  2.40000e-01 -2.75857e+00  1.45990e+01
         23  1.60000e-01 -2.77808e+00  1.45758e+01
         24  1.20000e-01 -3.18535e+00  1.27980e+01
         25  3.20000e-01 -4.25353e+00  8.82911e+00
         26  3.20000e-01 -4.33494e+00  8.31916e+00
         27  3.20000e-01 -5.02593e+00  5.46656e+00
         28  3.60000e-01 -5.08890e+00  4.98396e+00
         29  2.80000e-01 -5.26815e+00  4.08242e+00
         30  2.40000e-01 -5.47198e+00  3.14155e+00
         31  2.00000e-01 -5.49104e+00  3.16911e+00
         32  2.00000e-01 -5.56653e+00  2.80270e+00
         33  2.00000e-01 -5.50631e+00  3.16614e+00
         34  3.20000e-01 -5.50059e+00  3.33485e+00
         35  1.60000e-01 -5.72875e+00  2.35250e+00
         36  2.00000e-01 -5.70006e+00  2.44277e+00
         37  2.00000e-01 -5.70089e+00  2.33976e+00
         38  2.00000e-01 -5.75128e+00  1.96751e+00
         39  2.00000e-01 -5.87328e+00  1.28069e+00
         40  2.40000e-01 -5.90565e+00  1.01051e+00
         41  2.80000e-01 -5.88495e+00  1.09994e+00
         42  2.40000e-01 -5.92070e+00  9.85768e-01
         43  2.80000e-01 -6.05019e+00  3.76341e-01
         44  2.40000e-01 -6.10575e+00  6.17362e-03
         45  2.40000e-01 -6.20210e+00 -3.82655e-01
         46  2.80000e-01 -6.26710e+00 -6.43716e-01
         47  3.60000e-01 -6.16602e+00 -1.99130e-01
         48  2.80000e-01 -6.24627e+00 -3.65034e-01
